Model,Type,accuracy,precision,recall,f1,roc_auc,mae,rmse,aic,bic,direction_accuracy
XGBoost_Tuned_nf,,0.5092,0.5541,0.4447,0.4934,0.5194,,,,,
XGBoost_Tuned_cw,,0.4795,0.511,0.6711,0.5802,0.4437,,,,,
LSTM_Tuned,,0.536,0.536,1.0,0.6979,,,,,,
XGBoost_Tuned,,0.536,0.5371,0.9711,0.6917,0.442,,,,,
ARIMA_Tuned,,,,,,,0.0247,0.0333,-12493.2588,-12469.4554,0.5028
LSTM_Base,,0.536,0.536,1.0,0.6979,,,,,,
XGBoost_Base,,0.5049,0.5287,0.7026,0.6034,0.4693,,,,,
ARIMA_Base,,,,,,,0.0247,0.0333,-12480.5117,-12462.6602,0.5028
